tsne 1,tsne 2,tsne 3,author
-0.018999835,4.6350417,27.486868,EAP
-11.917857,8.493678,-0.7177954,HPL
14.018405,-5.2713203,13.765447,EAP
21.463566,12.922718,-13.801224,MWS
5.577127,-3.6310563,9.848638,HPL
-20.673258,-11.3684845,-0.07402872,MWS
-14.260127,9.36835,2.111816,EAP
32.80545,-17.688477,-0.09492411,EAP
-13.794133,9.596963,1.4272474,EAP
-5.9176855,4.1266327,21.587465,MWS
-28.050732,8.794586,-4.605276,MWS
29.71695,6.1968827,12.015965,EAP
1.5041493,5.5763874,18.711325,HPL
23.390528,10.318871,-6.5448384,HPL
-28.756733,-4.2690277,16.222727,EAP
15.535502,-1.9669292,-19.881704,MWS
-11.246356,9.754895,8.942146,EAP
-15.96617,-14.412397,-3.5642238,MWS
-3.7616348,-16.580027,21.888084,EAP
17.238636,-27.994457,6.6524243,HPL
25.593094,-9.321399,13.089654,EAP
1.1745589,-17.859226,12.650162,HPL
32.76481,1.641373,-10.85705,EAP
7.926307,-30.877409,-3.123843,EAP
-26.69281,-0.019731257,17.306734,EAP
19.362337,11.310577,-10.886778,EAP
-11.186583,0.16607939,22.917774,EAP
-11.423005,-0.87535864,-1.6115745,EAP
3.422073,-10.366743,22.084602,HPL
-7.194199,2.0423505,-6.3459864,HPL
-1.171973,-6.6748805,-3.708061,EAP
-8.22994,12.523528,9.068436,MWS
0.50071967,3.3572135,5.451447,MWS
11.143924,11.845845,-11.887527,HPL
-19.021011,5.073692,16.566183,HPL
0.97278726,-3.455843,-24.802658,HPL
29.41167,8.5118475,-10.425471,HPL
-18.20815,-13.954621,-6.913499,MWS
20.037344,-4.770257,12.235015,HPL
-12.782057,-1.7465913,22.161854,EAP
12.34375,13.530786,22.373238,HPL
28.629057,-15.949712,-7.5111227,HPL
-0.4801814,24.012722,-22.572062,HPL
6.5380344,16.710094,8.476127,MWS
-5.137954,13.363786,-1.0338058,EAP
-17.320961,-16.563324,7.140145,EAP
-29.252256,-7.465748,-5.906999,MWS
-2.3759792,5.24087,-18.050325,HPL
7.710899,-30.884392,-3.767831,HPL
17.76959,-6.709284,-4.107189,EAP
-28.084778,-18.778297,-2.3234203,EAP
12.7318325,6.487677,19.116842,EAP
-11.356414,14.213061,18.772305,MWS
16.216253,-1.2255477,-3.6471171,MWS
19.588514,9.338477,0.60184747,MWS
10.951721,-11.214619,-13.6246605,HPL
-2.4186306,17.067385,4.3284035,HPL
-12.25919,21.432732,-26.204176,EAP
19.009823,-27.26177,-1.3976606,MWS
14.375196,-0.6301781,-9.5364485,MWS
18.750595,-5.8907647,-12.410287,MWS
-0.29630774,12.92939,-0.32704192,HPL
32.431847,9.550317,5.293356,EAP
27.686096,-3.4720566,1.5425094,HPL
